benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"FASTJSON-6","t3",6,60,9.5,0.107,0.099,0.066
"FASTJSON-7","t3",6,60,57.3,0.775,0.66,0.699
"FASTJSON-8","t3",6,60,62.2,0.217,0.161,0.174
"FASTJSON-9","t3",6,60,18.3,0.197,0.187,0.223
"JSOUP-1","t3",6,60,63.4,0.813,0.629,0.547
"JSOUP-2","t3",6,60,54.9,0.674,0.698,0.076
"JSOUP-3","t3",6,60,33.8,0.766,0.459,0.781
"JSOUP-4","t3",6,60,64.5,0.951,0.9,0.827
"JSOUP-5","t3",6,60,55.2,0.692,0.429,0.199
"OKIO-10","t3",6,60,31,0.734,0.8,0.578
"OKIO-1","t3",6,60,65,0.19,0.13,0.093
"OKIO-2","t3",6,60,55.1,0.89,0.956,0.792
"OKIO-3","t3",6,60,54.5,0.272,0.25,0.171
"OKIO-4","t3",6,60,64.3,0,0,0
"OKIO-5","t3",6,60,64.3,0.522,0.361,0.255
"OKIO-6","t3",6,60,64.7,0.442,0.363,0.355
"OKIO-7","t3",6,60,61.9,0.415,0.395,0.296
"OKIO-8","t3",6,60,64.4,0.759,0.681,0.411
"OKIO-9","t3",6,60,4.6,0.6,0.423,0.282
"REDISSON-10","t3",6,60,65.2,0.827,0.793,0
"REDISSON-1","t3",6,60,54.6,0.071,0.111,0
"REDISSON-2","t3",6,60,13.3,0.076,0,0
"REDISSON-3","t3",6,60,60.7,0,0,0
"REDISSON-4","t3",6,60,54.7,0.077,0,0
"REDISSON-5","t3",6,60,55.5,0,0,0
"REDISSON-6","t3",6,60,42.9,0,0,0
"REDISSON-7","t3",6,60,3.2,0,0,0
"REDISSON-8","t3",6,60,38.9,0.713,0.537,0
"REDISSON-9","t3",6,60,40.4,0.897,0.681,0.05
"WEBMAGIC-1","t3",6,60,2.8,0,0,0
"WEBMAGIC-2","t3",6,60,2.8,0,0,0
"WEBMAGIC-3","t3",6,60,48.7,0.842,0.286,0.517
"WEBMAGIC-4","t3",6,60,64.4,0,0,0
"WEBMAGIC-5","t3",6,60,9.1,0.87,1,0.875
"ZXING-10","t3",6,60,56.4,0.701,0.677,0.535
"ZXING-1","t3",6,60,66,0.317,0.226,0.113
"ZXING-2","t3",6,60,64.4,0.004,0,0.001
"ZXING-3","t3",6,60,7.7,0.971,0.855,0.68
"ZXING-4","t3",6,60,14.2,0.926,0.949,0.193
"ZXING-5","t3",6,60,54.9,0.687,0.891,0.374
"ZXING-6","t3",6,60,56.7,0.769,0.658,0.416
"ZXING-7","t3",6,60,54.8,0.559,0.539,0.471
"ZXING-8","t3",6,60,9.6,0.399,0.538,0.326
"ZXING-9","t3",6,60,11.1,0.917,0.918,0.851
"DUBBO-10","evosuite",6,60,44.5,0.259,0.244,0.208
"DUBBO-2","evosuite",6,60,6.2,0,0,0
"DUBBO-3","evosuite",6,60,56.9,0.954,0.946,0.872
"DUBBO-4","evosuite",6,60,44,0.922,0.944,0.913
"DUBBO-5","evosuite",6,60,46.3,0.969,0.944,0.777
"DUBBO-6","evosuite",6,60,40.9,0.036,0.039,0.029
"DUBBO-7","evosuite",6,60,47.8,0.974,0.923,0.961
"DUBBO-8","evosuite",6,60,55.5,0.812,0.661,0.748
"DUBBO-9","evosuite",6,60,56.4,0.824,0.719,0.652
"FASTJSON-10","evosuite",6,60,52,0.544,0.441,0.419
"FASTJSON-1","evosuite",6,60,66,0.198,0.159,0.037
"FASTJSON-2","evosuite",6,60,58.7,0.353,0.287,0.303
"FASTJSON-3","evosuite",6,60,57.4,0.144,0.093,0.068
"FASTJSON-4","evosuite",6,60,57.5,0.581,0.322,0.522
"FASTJSON-5","evosuite",6,60,58.4,0.236,0.157,0.122
"FASTJSON-6","evosuite",6,60,54.2,0.376,0.391,0.209
"FASTJSON-7","evosuite",6,60,56.7,0.735,0.636,0.401
"FASTJSON-8","evosuite",6,60,56.1,0.837,0.701,0.706
"FASTJSON-9","evosuite",6,60,43.1,0.333,0.39,0.385
"JSOUP-1","evosuite",6,60,56,0.975,0.9,0.818
"JSOUP-2","evosuite",6,60,45.4,0.234,0.248,0.127
"JSOUP-3","evosuite",6,60,61.4,0.605,0.387,0.281
"JSOUP-4","evosuite",6,60,55.5,0.987,0.95,0.805
"JSOUP-5","evosuite",6,60,55.8,0.793,0.533,0.439
"OKIO-10","evosuite",6,60,45.6,0.778,0.799,0.78
"OKIO-1","evosuite",6,60,62,0.572,0.42,0.21
"OKIO-2","evosuite",6,60,56.4,0.772,0.723,0.592
"OKIO-3","evosuite",6,60,55.8,0.892,0.725,0.614
